ObjectKey,FetchDate,State,County,PropertyLink,Address,ListingPrice,BuyWithRedfin,Vendor,Status,PropertyType,Style,LotSize,TimeOnRedfin,YearBuilt,Community,MlsNo,ListPrice,RedfinEstimate,BuyerAgentCommission,EstMoPayment,PriceSqFt
c2230334d501cf7fcb4d17a1541af56a54be3f22a2e5b1cdaa93292812af4057,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Beverly-Hills/463-S-Swall-Dr-90211/home/6812404,"463 S Swall Dr,Beverly Hills, CA 90211","$3,200,000","Buy with Redfin: $3,193,311",matterport,Active,Single Family Residence,,"4,797 Sq. Ft.",11 days,1929,C01 - Beverly Hills,CV22146623,"$3,200,000","$3,243,999",2.5%,"$17,853","$1,224"
9a005802b69cf1d5856e40e8074d68d07fc56a3daec77ff39df8a5d0c299842b,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Marina-Del-Rey/4327-Alla-Rd-90292/unit-3/home/6725889,"4327 Alla Rd #3,Marina Del Rey, CA 90292","$1,395,000","Buy with Redfin: $1,392,043",matterport,Active,"Townhouse, Residential Condo/Co-Op",Contemporary,8.95 Acres,5 days,1975,Marina Del Rey,22-176531,"$1,395,000","$1,397,475",2%,"$8,398",$748
1cc0ee40cf84bf7a2acac408a048135fc7d8dfd7b6ec0f46c36b4b7cbf77eae6,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/4291-Scandia-Way-90065/home/23151322,"4291 Scandia Way,Los Angeles, CA 90065","$250,000",,matterport,Active,Residential Land,,"5,325 Sq. Ft.",26 days,,Glassell Park,22-171395,"$250,000","$248,740",2.5%,"$1,395",
0a6ee0c08275a3d54cdd3d4748d2fec8b8924a44742f7fceb45db3b90698cd4f,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Claremont/588-Boulder-Cir-91711/home/173286116,"588 Boulder Cir,Claremont, CA 91711","$725,000",,matterport,Active,Townhouse,,0.44 Acres,7 days,2020,683 - Claremont,CV22151822,"$725,000","$725,940",2%,"$4,341",$412
5b8921e2cff439363204451b5c68d364694c650bd7f35819b4e6a41a086e0d65,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/North-Hollywood/6427-Klump-Ave-91606/home/5134023,"6427 Klump Ave,North Hollywood, CA 91606","$800,000","Buy with Redfin: $798,350",matterport,Active,Single Family Residence,Traditional,"6,663 Sq. Ft.",4 days,1942,NHO - North Hollywood,P1-10467,"$800,000",,1.5%,"$4,463",$474
55dc80a9571d2387f9986e0fbaa7ee27c23e95d33ddfa0ddc09939a973b6d517,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Venice/628-Indiana-Ave-90291/home/6741915,"628 Indiana Ave,Venice, CA 90291","$2,455,000","Buy with Redfin: $2,449,858",matterport,Active,Single Family Residence,Contemporary,"5,280 Sq. Ft.",5 days,1952,C11 - Venice,SB22146667,"$2,455,000","$2,500,292",2%,"$13,696","$1,222"
2a68229c8a9668b39ee656b1f7c312c09020541fcd4c7f6d357fa69db672f1ad,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Los-Angeles/11808-Dorothy-St-90049/unit-301/home/6761888,"11808 Dorothy St #301,Los Angeles, CA 90049","$1,599,000","Buy with Redfin: $1,595,622",matterport,Active,Condo,Architectural,0.54 Acres,10 days,1983,Brentwood,22-176797,"$1,599,000","$1,589,239",2.5%,"$9,803",$734
ecad1e121b429a80fe78538394acca2a1d6190709e6f3e841568a271656cab7d,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Burbank/520-E-Fairmount-Rd-91501/home/5354500,"520 E Fairmount Rd,Burbank, CA 91501","$1,150,000","Buy with Redfin: $1,147,552",matterport,Active,Single Family Residence,Traditional,"9,948 Sq. Ft.",7 days,1942,699 - Not Defined,BB22148331,"$1,150,000","$1,331,756",2.5%,"$6,416",$805
d742c4cf1ff849a00820141c1a816bbafed870c94da1c2e2b3ad5aba3bb35569,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Sherman-Oaks/5421-Norwich-Ave-91411/home/4748774,"5421 Norwich Ave,Sherman Oaks, CA 91411","$2,779,000","Buy with Redfin: $2,773,184",matterport,Active,"Single Family, Residential Single-Family",Cape Cod,"6,802 Sq. Ft.",7 days,2014,Sherman Oaks,22-177293,"$2,779,000","$2,895,873",2.25%,"$15,504",$680
9add0df3f14bc27ecfedab5b7cfdba371d9370149903a7856cdead87b8dffee9,07/19/2022,CA,Los Angeles County,https://www.redfin.com/CA/Calabasas/23128-Park-Sorrento-91302/home/3496388,"23128 Park Sorrento,Calabasas, CA 91302","$1,850,000","Buy with Redfin: $1,846,110",matterport,Active,Townhouse,,"3,868 Sq. Ft.",7 days,1974,CLB - Calabasas,SR22150065,"$1,850,000","$2,105,069",2.5%,"$10,690",$771
