FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,ARCO Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,ConocoPhillips Transportation Alaska,complete,Submittal,20220607-8005,06/07/2022,06/07/2022,"ConocoPhillips Transportation Alaska, Inc. submits FERC Form 6Q report for 2022/Q1",Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"87,857,051","56,801,591","7,625,445",,"17,422,702",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/conocophillips_transportation_alaska_form6q
07/26/2022,Plains Pipeline,complete,Submittal,20220531-8112,05/31/2022,05/31/2022,Plains Pipeline Montana LLC submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,"4,086,375","3,028,960","912,025",,"2,979,368",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/plains_pipeline_form6q
07/26/2022,Amberjack Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amerada Hess Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Alon Petroleum Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amoco Capline Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amoco Cushing-Chicago Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amoco High Island Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Pipelines (North America),complete,Submittal,20220609-8037,06/09/2022,06/09/2022,BP Pipelines (North America) Inc. submits FERC Form 6Q report for 2022/Q1,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2022/Q1,0,"2,753,870","314,949","8,613",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/bp_pipelines__north_america__form6q
07/26/2022,Anschutz Ranch East Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Atlantic Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Offshore Pipelines,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Oil Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Pipelines (Alaska),complete,Submittal,20211216-8003,12/16/2021,12/16/2021,BP Pipelines (Alaska) Inc. submits FERC Form 6Q report for 2021/Q3,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2021/Q3,,,"47,342,913","8,837,793","51,001,668",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/bp_pipelines__alaska__form6q
07/26/2022,BP Transportation (Alaska),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Belle Fourche Pipeline,complete,Submittal,20211227-8000,12/27/2021,12/27/2021,Belle Fourche Pipeline Company submits FERC Form 6Q report for 2021/Q3,Report/Form | Form 6-Q -Quarterly report of oil pipeline companies,Public,Year/Period of Report  End of: 2021/Q3,"22,569,692","16,966,744","5,412,936","194,926","92,088,608",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/belle_fourche_pipeline_form6q
07/26/2022,Belle Rose NGL Pipeline,nodata - name not on description,,,,,,,,,,,,,,
