FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,ARCO Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,ConocoPhillips Transportation Alaska,complete,Submittal,20220405-8000,04/05/2022,04/05/2022,"ConocoPhillips Transportation Alaska, Inc. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"385,605,145","240,657,416","29,834,396",,"71,447,579",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/conocophillips_transportation_alaska_form6
07/26/2022,Plains Pipeline,complete,Submittal,20220516-8000,05/16/2022,05/16/2022,"Plains Pipeline, L.P. submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"1,101,176,663","477,935,431","92,724,419","39,590,373","2,018,749,135",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/plains_pipeline_form6
07/26/2022,Amberjack Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amerada Hess Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Alon Petroleum Pipe Line,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amoco Capline Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amoco Cushing-Chicago Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Amoco High Island Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Pipelines (North America),complete,Submittal,20220418-8152,04/18/2022,04/18/2022,BP Pipelines (North America) Inc. submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,0,"24,450,961","673,988","33,218",0,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/bp_pipelines__north_america__form6
07/26/2022,Anschutz Ranch East Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Atlantic Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Offshore Pipelines,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Oil Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Pipelines (Alaska),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,BP Transportation (Alaska),nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Belle Fourche Pipeline,complete,Submittal,20220428-8002,04/28/2022,04/28/2022,Belle Fourche Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"96,885,421","67,203,944","7,503,740",,"126,079,673",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/belle_fourche_pipeline_form6
07/26/2022,Belle Rose NGL Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Black Lake Pipeline,complete,Submittal,20220414-8033,04/14/2022,04/14/2022,Black Lake Pipeline Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"10,658,745","8,736,180","1,539,444","278,488",,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/black_lake_pipeline_form6
