ObjectKey,FetchDate,Date,Year,Passengers
9cd2af5211b272047f18d951bf4465b24548198375ba5071a66a362eacba3d63,05/31/2022,5/29/2022,2022,"2,096,466"
39ed8eabd6f5cf623a5f74bfb9a5655c461c4e7e6d0665f7f13c23b2e073b463,05/31/2022,5/29/2022,2021,"1,650,454"
ab6a4eac6d969639b90af303ce01ce956696356ce4bcd4dca7d55459605307ff,05/31/2022,5/29/2022,2020,"352,947"
805d0421d8f04f05528746b428f4793d42a3db59a70d6605549b7d8b36eb81d9,05/31/2022,5/29/2022,2019,"2,555,578"
eac4167ff00089e287eb2e9e1ee58d0dffaba5771fc40ae4315e30216ab67d69,05/31/2022,5/28/2022,2022,"1,994,151"
698168822d7a076aeac21ac1b40f38479d823f70584c35ba2701ed60b9b016d7,05/31/2022,5/28/2022,2021,"1,605,810"
84a57b2f2ef8ade02d08f00b933bbed97a2b5eb3fc6d3b9eee6f4cb38097092d,05/31/2022,5/28/2022,2020,"268,867"
b25dd65c898e96f948d54fdeceea60195c51f6cbccc8cb4eddcd05d3e054e9bc,05/31/2022,5/28/2022,2019,"2,117,180"
eca2ffce2fec9cc1d4b27b944f742265f60f4b45cda2ea4c2445d43598b6b5d7,05/31/2022,5/27/2022,2022,"2,384,721"
14e513ec1acbf865e11ee1b3bd644e0e86feb4d846d4bc38272500985a150f40,05/31/2022,5/27/2022,2021,"1,959,593"
03d9fb0a56843e46aea48c55cc5bc5a06f18a1cd1024ce4bcf381182e0a36a0d,05/31/2022,5/27/2022,2020,"327,133"
debce1f38d6546adfdee3616c8c815be408c662211343c761ce3f45a5ae5f5a3,05/31/2022,5/27/2022,2019,"2,570,613"
e1bb05e84777f76f60e5bf109d79d3745e922f67ad3f19e5b12eccec9ec17cd1,05/31/2022,5/26/2022,2022,"2,379,860"
b3c9c22b6d601776d785b573f3007d66f509556abd37ae01e57a3876f3b2319d,05/31/2022,5/26/2022,2021,"1,854,534"
fe120cb0f88ed77bf93d9283e2e7a736aed47771da5bb7d7424500d0631c6091,05/31/2022,5/26/2022,2020,"321,776"
098b3a9325cf82c3d5ed4eed90c2f812f54a86f4a807ddbdc0fb51708c3d2a21,05/31/2022,5/26/2022,2019,"2,485,770"
59b86e0f112d0f0b3c2532a466b8b950c3548b654e6670e6ec60006a2cf4496c,05/31/2022,5/25/2022,2022,"2,147,736"
0ff507f0beaf42033bcdbfd3574c58b3f894e7f16e5b79e30f62b45d3dd3340b,05/31/2022,5/25/2022,2021,"1,618,169"
f89fcf13c95f1199a8cc9bb8e31998d80a9b8323f398efba1f5f9a42ad052390,05/31/2022,5/25/2022,2020,"261,170"
